Perfil;Ancho;Alto;ColorVidrio;Acabado;Tarifa
7993;600;1000;COLORMIX01;ANODIZADO;182,20
7993;600;2000;COLORMIX01;ANODIZADO;238,75
7993;600;2500;COLORMIX01;ANODIZADO;274,40
7993;400;500;COLORMIX01;RECHAPADO;142,19
7993;400;1000;COLORMIX01;RECHAPADO;170,04
7993;400;2000;COLORMIX01;RECHAPADO;219,37
7993;400;2500;COLORMIX01;RECHAPADO;250,44
7993;500;500;COLORMIX01;RECHAPADO;149,19
7993;500;1000;COLORMIX01;RECHAPADO;181,35
7993;500;2000;COLORMIX01;RECHAPADO;237,56
7993;500;2500;COLORMIX01;RECHAPADO;272,55
7993;600;500;COLORMIX01;RECHAPADO;156,19
7993;600;1000;COLORMIX01;RECHAPADO;192,66
7993;600;2000;COLORMIX01;RECHAPADO;255,76
7993;600;2500;COLORMIX01;RECHAPADO;294,67
7993;400;500;GRISOSCURO;LACADO;149,06
7993;400;1000;GRISOSCURO;LACADO;187,55
7993;400;2000;GRISOSCURO;LACADO;252,89
7993;400;2500;GRISOSCURO;LACADO;293,28
7993;500;500;GRISOSCURO;LACADO;158,95
7993;500;1000;GRISOSCURO;LACADO;205,59
7993;500;2000;GRISOSCURO;LACADO;284,17
7993;500;2500;GRISOSCURO;LACADO;332,00
7993;600;500;GRISOSCURO;LACADO;168,85
7993;600;1000;GRISOSCURO;LACADO;223,63
7993;600;2000;GRISOSCURO;LACADO;315,46
7993;600;2500;GRISOSCURO;LACADO;370,71
7993;400;500;GRISOSCURO;ANODIZADO;151,65
7993;400;1000;GRISOSCURO;ANODIZADO;191,57
7993;400;2000;GRISOSCURO;ANODIZADO;259,79
7993;400;2500;GRISOSCURO;ANODIZADO;301,62
7993;500;500;GRISOSCURO;ANODIZADO;161,83
7993;500;1000;GRISOSCURO;ANODIZADO;209,90
7993;500;2000;GRISOSCURO;ANODIZADO;291,37
7993;500;2500;GRISOSCURO;ANODIZADO;340,63
7993;600;500;GRISOSCURO;ANODIZADO;172,01
7993;600;1000;GRISOSCURO;ANODIZADO;228,24
7993;600;2000;GRISOSCURO;ANODIZADO;322,94
7993;600;2500;GRISOSCURO;ANODIZADO;379,63
7993;400;500;GRISOSCURO;RECHAPADO;157,53
7993;400;1000;GRISOSCURO;RECHAPADO;200,73
7993;400;2000;GRISOSCURO;RECHAPADO;275,49
7993;400;2500;GRISOSCURO;RECHAPADO;320,59
7993;500;500;GRISOSCURO;RECHAPADO;168,37
7993;500;1000;GRISOSCURO;RECHAPADO;219,71
7993;500;2000;GRISOSCURO;RECHAPADO;307,71
7993;500;2500;GRISOSCURO;RECHAPADO;360,24
7993;600;500;GRISOSCURO;RECHAPADO;179,20
7993;600;1000;GRISOSCURO;RECHAPADO;238,70
7993;600;2000;GRISOSCURO;RECHAPADO;339,94
7993;600;2500;GRISOSCURO;RECHAPADO;399,90
7993;400;500;MATE;LACADO;147,33
7993;400;1000;MATE;LACADO;168,03
7993;400;2000;MATE;LACADO;204,45
7993;400;2500;MATE;LACADO;232,73
7993;500;500;MATE;LACADO;155,45
7993;500;1000;MATE;LACADO;182,53
7993;500;2000;MATE;LACADO;223,63
7993;500;2500;MATE;LACADO;256,31
7993;600;500;MATE;LACADO;163,57
7993;600;1000;MATE;LACADO;197,04
7993;600;2000;MATE;LACADO;242,80
7993;600;2500;MATE;LACADO;279,89
7993;400;500;MATE;ANODIZADO;151,35
7993;400;1000;MATE;ANODIZADO;170,62
7993;400;2000;MATE;ANODIZADO;211,35
7993;400;2500;MATE;ANODIZADO;241,08
7993;500;500;MATE;ANODIZADO;159,76
7993;500;1000;MATE;ANODIZADO;185,41
7993;500;2000;MATE;ANODIZADO;230,82
